X,Quarters,Performance,Weights,Earnings.per.Share,Price.to.Sales,Operating.Margins,Price.to.Book,ROE,ROA,Dividend.Yield,EPS.Growth,Earnings.Yield,PE,Debt.to.Equity,Book.Value.Per.Share,Net.Debt.to.EBITDA,Current.Ratio,Profit.Margin,Total.Debt.to.Total.Asset,Return.on.Capital,FCF.to.Basic.Share,Tangible.Book.value.per.Share
ROBINSONS LAND CO,6/30/22,0,1.1,0.4,2.04,38.31,0.67,9.39,42825.55,12.76,135.29,14.15,10.03,40.33,24.73,2.46,1.46,24.73,24.29,6.06,-0.29,24.73
ROBINSONS LAND CO,3/31/23,0,0.82,0.63,1.9,43.72,0.54,11.9,48019.59,-31.76,-1.56,21.33,6.63,50.28,26.62,2.31,1.44,30.17,28.31,7.02,0.5,26.62
ROBINSONS RETAIL HOLDINGS IN,12/29/16,1,0,0.72,0.98,4.51,2.19,12.32,-4765.17,-0.97,26.32,5.39,21.19,8.09,35.16,-0.61,1.35,3.87,5.75,10.56,-1.22,30.34
ROBINSONS RETAIL HOLDINGS IN,3/31/17,0,0,0.93,1.09,5.61,2.46,12.56,-4223.77,0.03,4.49,4.9,23.68,7.13,35.3,-0.53,1.37,4.63,5.1,10.41,-0.42,30.48
ROBINSONS RETAIL HOLDINGS IN,6/28/19,0,1.09,0.67,0.78,5.01,1.75,11.74,16259.36,6.29,-22.99,6.03,30.04,35.39,45.22,1.24,1.49,2.73,21.39,7.59,0.04,33.13
ROBINSONS RETAIL HOLDINGS IN,12/27/19,1,1.14,0.59,0.54,4.18,1.23,11.33,11386.52,10.89,47.5,8.99,21.9,38.73,46.18,0.76,1.73,2.3,23.09,7.11,-0.89,34.1
ROBINSONS RETAIL HOLDINGS IN,3/31/20,1,1.11,0.46,0.64,3.26,1.43,10.21,9276.48,12.57,-32.35,7.05,27.29,38.87,45.58,0.66,1.61,2.06,22.42,5.86,3.01,33.52
ROBINSONS RETAIL HOLDINGS IN,6/30/20,0,1.17,0.48,0.66,4.21,1.42,9.38,15896.86,6.57,-28.36,6.58,29.65,41.04,45.86,1.17,1.59,2.17,24,5.46,-1.03,33.84
ROBINSONS RETAIL HOLDINGS IN,12/29/20,0,0.94,0.61,0.61,3.26,1.24,7.24,15833.46,4.06,3.39,5.88,27.53,41.97,46.23,1.29,1.45,2.65,24.08,5.08,0.77,31.85
ROBINSONS RETAIL HOLDINGS IN,3/31/21,0,0.83,0.47,0.57,3.26,1.2,7.46,16615.48,6.33,2.17,6.33,25.7,42.83,44.59,1.35,1.44,2.02,24.61,5.08,0.19,30.21
ROBINSONS RETAIL HOLDINGS IN,6/30/21,0,0.79,0.68,0.53,3.97,1.12,7.49,16666.31,6.37,41.67,6.64,22.63,42.09,46.22,1.35,1.44,2.78,24.05,5.24,1.59,31.3
ROBINSONS RETAIL HOLDINGS IN,9/30/21,0,0.96,1.22,0.65,5.04,1.43,8.36,17396.62,12.06,129.96,6.06,21.97,43.87,45.65,1.32,1.44,4.1,25.01,5.93,0.47,31.27
ROBINSONS RETAIL HOLDINGS IN,12/31/21,1,0.79,0.78,0.54,4.03,1.22,8.98,18287.51,12.37,27.87,7.7,17.65,40.57,45.37,1.34,1.52,2.99,23.88,6.26,0.2,31
ROBINSONS RETAIL HOLDINGS IN,3/31/22,0,0.84,1.04,0.46,4.76,1.14,10.51,21160.43,10.74,121.28,9.69,13.56,46.39,44.22,1.45,1.41,3.63,26.1,7.15,2.09,29.86
ROBINSONS RETAIL HOLDINGS IN,6/30/22,1,0.97,1.13,0.48,5.11,1.22,11.57,19852.31,7.99,66.18,9.96,13.13,44.21,44.92,1.28,1.43,3.74,25.1,7.85,1.65,30.56
ROBINSONS RETAIL HOLDINGS IN,12/29/22,0,0.83,0.36,0.43,4.09,1.05,12.15,37013.3,-9.04,-53.85,11.19,15.33,60.79,51.21,2.29,0.9,1.2,31.21,6.48,-1.54,35.86
ROBINSONS RETAIL HOLDINGS IN,3/31/23,1,0.84,0.86,0.43,4.43,1.15,12.36,24302,-6.4,-17.31,11.08,16.4,41.1,47.58,1.5,1.25,2.72,21.32,6.85,0.71,33.22
SAN MIGUEL CORP,6/28/19,0,1.58,2.17,0.4,12.5,1.24,34.31,692378,-30.56,-1.36,26.36,25.33,169.41,138.24,4.78,1.53,2.81,55.42,5.51,-0.49,23.92
SAN MIGUEL CORP,9/30/21,0,1.13,0.16,0.29,11.75,0.87,36.88,798815,-18.03,-61.41,44.5,46.21,161.43,132.74,4.74,1.36,0.67,53.6,4.86,-12.39,-1.94
SAN MIGUEL CORP,12/31/21,0,1.05,1.99,0.25,10.25,0.82,36.8,820100,-34.24,-33.22,46.58,73.5,162.96,134.71,4.84,1.28,2,53.55,4.51,3.37,-3.36
SEMIRARA MINING AND POWER CO,9/30/21,1,0.59,1.39,1.73,42.75,1.99,38.54,6941.96,19.36,1886.49,18.64,5.6,33.23,10.73,0.29,1.85,41.03,21.15,27.91,1.01,10.73
SM INVESTMENTS CORP,12/29/16,1,10.81,6.39,2.62,16.92,2.71,17.72,270466.48,-5.25,62.46,5.81,28.87,80.33,257.2,4.08,1.13,9.74,38.34,8.23,-11.26,235.88
SM INVESTMENTS CORP,3/31/17,0,11.52,7.39,2.74,16.92,3.13,18.32,278280.49,-5.77,64.71,5.69,29.69,84.39,256.64,4.06,1.17,9.9,39.43,8.32,10.33,235.35
SM INVESTMENTS CORP,6/28/19,1,13.4,8.32,2.56,15.22,3.08,20.39,338165.52,1.3,23.99,6.29,26.6,79.81,314.77,3.71,1.16,9.45,37.19,9.05,-6.29,293.77
SM INVESTMENTS CORP,12/27/19,1,16.29,7.48,2.11,14.67,2.59,20.21,354450.49,0.22,-15.67,7.69,22.97,79.02,316.3,3.7,1.14,8.86,36.83,8.74,-10.08,295.35
SM INVESTMENTS CORP,6/30/20,0,15.91,6.74,2.64,11.91,2.72,13.9,373494.47,0.89,-18.99,5.04,39.67,76.98,323.65,5.13,1.08,10.02,36.17,5.93,-0.09,302.8
SM INVESTMENTS CORP,12/29/20,0,15.8,7.86,3.26,14.31,2.82,9.72,386221.34,-0.72,5.08,3.32,48.5,77.71,340.39,6.78,1.22,10.84,36.58,4.95,-10.81,320.03
SM INVESTMENTS CORP,6/30/21,0,15.06,5.93,3.22,9.02,2.8,10.67,431935.76,-3.52,-12.02,3.65,33.68,82.39,353.81,6.8,1.31,8.43,38.32,6.19,-9.01,327.47
SM INVESTMENTS CORP,9/30/21,0,13.89,10.93,2.8,13.77,2.54,12.25,416520.18,-1.97,61.19,4.59,28.11,81.17,371.58,5.7,1.17,8.94,37.14,6.64,9.31,337.75
SM INVESTMENTS CORP,12/31/21,0,12.98,10.79,2.58,15.4,2.46,13.09,415987.13,-2.93,37.28,5.11,24.92,81.26,370.2,5.33,1.25,12.25,37.63,7.02,-1.1,343.97
SM INVESTMENTS CORP,3/31/22,0,13.1,12.22,2.05,15.01,2.12,14.47,442611.17,-5.41,38.55,6.62,19.61,88.23,368.78,5.2,1.28,12.2,39.58,7.28,-10.95,342.59
SM INVESTMENTS CORP,6/30/22,1,12.85,12.54,1.74,16,1.87,16.78,447513.07,-2.78,111.5,8.63,15.6,85.13,387.26,4.55,1.25,11.7,38.92,8.08,14.74,353.63
SM INVESTMENTS CORP,12/29/22,1,13.73,14.16,1.96,16.94,2.12,18.54,442752.47,3.12,31.23,8.21,15.88,71.69,419.81,3.92,1.21,13.51,34.99,9.46,-9.66,386.85
SM INVESTMENTS CORP,3/31/23,0,14.24,15.74,1.99,16.78,2.19,19.51,454912.32,3.45,28.81,8.3,15.55,75.7,422.61,3.84,1.11,14.07,36.1,9.72,9.84,389.65
SM PRIME HOLDINGS INC,12/29/16,1,7.39,0.23,9.94,46.65,3.4,15.91,141921.28,-1.63,13.37,4.47,33.2,69.94,8.33,3.19,1.29,32.16,35.01,7.33,0.07,8.33
SM PRIME HOLDINGS INC,3/31/17,0,8.08,0.27,11.35,46.38,3.96,16.3,149728.27,-2.82,15.38,3.94,37.15,77.49,8.34,3.26,1.6,34.26,37.23,7.35,0.06,8.34
SM PRIME HOLDINGS INC,6/28/19,0,9.03,0.29,9.37,48.48,3.7,19.53,203549.33,-0.08,21.61,5.07,29.56,84.38,10.05,3.13,1.35,29.64,37.48,8.43,0.02,10.05
SM PRIME HOLDINGS INC,12/27/19,1,9.95,0.29,6.97,46.07,2.73,18.92,220019.24,-3.17,-5.57,6.78,21.8,88.5,10.42,3.31,1.29,32.26,38.89,8.18,0.07,10.42
SM PRIME HOLDINGS INC,3/31/20,0,9.61,0.07,8.76,24.98,3.07,15.63,231597.92,-1.05,-79.95,4.96,31.49,83.72,10.37,4.09,1.24,11.81,37.19,6.76,-0.44,10.37
SM PRIME HOLDINGS INC,6/30/20,0,9.34,0.14,9.03,36.55,2.81,12.92,240414.15,-1.72,-52.61,4.51,34.16,86.6,10.47,4.93,1.27,23.15,37.97,5.91,-0.27,10.47
SM PRIME HOLDINGS INC,12/29/20,1,10.13,0.22,13.13,41.68,3.2,8.39,257796.64,-1.11,-22.22,2.56,62.61,89.09,10.92,7.13,1.51,31.14,38.76,4,-0.14,10.92
SM PRIME HOLDINGS INC,3/31/21,1,9.87,0.18,13.28,36.49,3.3,9.3,271103.21,-3.69,145.21,2.73,54.89,93.01,11.07,6.96,1.39,25.47,39.83,4.54,-0.36,11.07
SM PRIME HOLDINGS INC,6/30/21,0,8.76,0.14,12.11,34.94,2.91,8.96,285463.33,-4.84,0.74,2.97,49.17,97.29,11.24,7.38,1.63,25.27,41.14,4.44,-0.14,11.24
SM PRIME HOLDINGS INC,9/30/21,0,8.78,0.21,11.88,42.55,2.94,10.09,285814.69,-3.35,69.48,3.31,44.99,97.54,11.53,6.61,1.39,24.19,40.54,4.72,0.03,11.53
SM PRIME HOLDINGS INC,12/31/21,1,9.51,0.26,12.79,44.74,3.19,10.47,264300.49,-4.56,14.73,3.15,48.12,92.57,11.86,5.81,1.37,31.04,38.6,4.89,-0.02,11.86
SM PRIME HOLDINGS INC,3/31/22,1,10.77,0.23,12.04,47.51,3.08,11.38,319555.54,-6.38,29.61,3.57,43.54,111.01,11.88,6.51,1.5,29.81,44.26,4.81,-0.61,11.88
SM PRIME HOLDINGS INC,6/30/22,1,9.38,0.27,8.76,48.58,2.47,13.44,322898.22,-5.65,100,5.24,30.82,108.24,12.21,5.63,1.5,28.92,43.84,5.37,0.14,12.21
SM PRIME HOLDINGS INC,12/29/22,1,8.91,0.33,8.56,48.41,2.53,14.81,332135.51,-0.62,27.24,5.6,29.46,95.1,12.95,5.04,1.34,32.9,40.66,6.14,-0.15,12.95
UNIVERSAL ROBINA CORP,12/29/16,1,4.54,1.53,3.18,13.13,4.87,22.01,29852.63,0.32,-29.49,4.39,25.97,56.83,33.57,1.39,1.68,10.98,29.6,13.81,-0.18,14.03
UNIVERSAL ROBINA CORP,3/31/17,0,4.26,1.31,3.14,11.91,4.75,21.35,31718.09,-0.53,-19.14,4.21,27.22,56.25,34.31,1.51,1.77,9.58,29.51,13.73,0.26,14.77
UNIVERSAL ROBINA CORP,6/28/19,1,4.04,0.85,2.6,10.41,3.97,16.95,29157.5,2.32,-5.56,4.17,36.53,47.53,39.28,1.36,1.6,5.7,26.09,8.85,1.61,19.83
UNIVERSAL ROBINA CORP,12/27/19,0,3.88,0.9,1.71,11.86,2.64,18.05,20820.82,1.19,-34.78,6.56,26.27,46.14,39.37,0.92,1.62,5.94,25.39,8.18,0.55,19.92
UNIVERSAL ROBINA CORP,3/31/20,1,4.18,1.61,2.13,12.58,3.23,18.21,20903.06,3.67,69.47,5.45,28.14,42.34,40.29,0.91,1.84,10.43,24.07,9.46,2.29,20.85
UNIVERSAL ROBINA CORP,6/30/20,1,4.54,0.89,2.2,11.35,3.27,17.98,27429.63,3.13,4.71,5.38,28.76,45.57,40.92,1.18,1.18,6.09,25.63,9.2,-0.42,21.48
UNIVERSAL ROBINA CORP,12/29/20,0,4.1,1.36,2.69,13.14,3.06,15.11,28016.24,2.78,40.2,4.7,28.13,46.12,43.45,1.32,1.28,10.23,26.32,9.68,-0.69,23.83
UNIVERSAL ROBINA CORP,3/31/21,0,4.17,2.29,3.07,11.93,3.28,13.91,32699.91,-0.24,35.62,4.06,27.26,48.51,44.02,1.6,1.2,17.71,26.74,10.47,-1.04,24.4
UNIVERSAL ROBINA CORP,6/30/21,1,3.87,1.12,3.02,9.03,3.12,12.63,4753.25,0.67,3.71,3.93,25.48,18.77,43.63,0.25,1.56,8.85,10.24,11.86,1.17,43.05
UNIVERSAL ROBINA CORP,9/30/21,0,3.54,5.81,2.53,9.5,2.57,12.13,924.07,1.33,2.39,4.33,23.89,16.76,49.71,0.05,1.73,49.7,11.99,18.07,0.7,39.09
UNIVERSAL ROBINA CORP,12/31/21,0,3.24,1.58,2.26,11.37,2.54,12.43,3050.63,1.9,25.22,4.67,21.32,18.83,47.64,0.16,1.46,9.71,12.57,18.36,0.43,37.04
UNIVERSAL ROBINA CORP,3/31/22,0,3.49,1.25,1.96,9.37,2.27,12.12,10158.52,3.83,-42.75,5.06,23.41,22.39,48.94,0.55,1.53,7.72,15.24,16.02,0.12,38.16
UNIVERSAL ROBINA CORP,6/30/22,1,3.79,1.44,1.87,9.24,2.25,12.82,8228.51,3.14,56.01,5.29,21.68,20.73,50.56,0.42,1.56,8.56,14.07,18.26,1.11,39.63
UNIVERSAL ROBINA CORP,12/29/22,1,4.17,1.57,2.04,11.7,2.75,14.48,8043.63,2.01,-0.63,5.04,22.54,20.01,52.38,0.36,1.48,8.58,12.66,11.71,0.17,41.54
UNIVERSAL ROBINA CORP,3/31/23,1,3.97,1.49,1.9,10.05,2.55,14.64,10246.4,2.21,19.2,5.48,20.74,19.12,53.85,0.45,1.59,8.37,12.73,11.76,0.44,43.31
